what is the elevation of the highest point in the united states,SELECT max ( highlow.highest_elevation ) FROM highlow ;
what is the size of the largest state in the united states,SELECT max ( state.area ) FROM state ;
what state has highest elevation,SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation = ( SELECT max ( highlow.highest_elevation ) FROM highlow ) ;
what is the capital of the state that borders the state that borders STATE@0,SELECT state.capital FROM state WHERE state.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ) ;
how long is the RIVER@0 river in miles,SELECT river.length FROM river WHERE river.river_name = RIVER@0 ;
which rivers run through states bordering STATE@0,SELECT river.river_name FROM river WHERE river.traverse IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ;
how many states does the RIVER@0 river flow through,SELECT count ( river.traverse ) FROM river WHERE river.river_name = RIVER@0 ;
what are the populations of all the major cities in STATE@0,SELECT city.population FROM city WHERE city.state_name = STATE@0 AND city.population > 150000 ;
which state has the smallest area that borders STATE@0 ?,SELECT state.state_name FROM state WHERE state.area = ( SELECT min ( state.area ) FROM state WHERE state.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ) AND state.state_name IN ( ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ) ;
what is the elevation of POINT@0,SELECT highlow.lowest_elevation FROM highlow WHERE highlow.lowest_point = POINT@0 ;
what is the state with the lowest population,SELECT state.state_name FROM state WHERE state.population = ( SELECT min ( state.population ) FROM state ) ;
how many people live in STATE@0,SELECT state.population FROM state WHERE state.state_name = STATE@0 ;
what is the river that cross over STATE@0,SELECT river.river_name FROM river WHERE river.traverse = STATE@0 ;
what is the height of the highest mountain in STATE@0,SELECT max ( distinct highlow.highest_elevation ) FROM highlow WHERE highlow.state_name = STATE@0 ;
what is the smallest state bordering STATE@0,SELECT state.state_name FROM state WHERE state.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) AND state.area = ( SELECT min ( state.area ) FROM state WHERE state.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ) ;
what is the biggest city in STATE@0,SELECT city.city_name FROM city WHERE city.state_name = STATE@0 AND city.population = ( SELECT max ( city.population ) FROM city WHERE city.state_name = STATE@0 ) ;
how long is the RIVER@0,SELECT river.length FROM river WHERE river.river_name = RIVER@0 ;
what is the highest point in the united states,SELECT highlow.highest_point FROM highlow WHERE highlow.highest_elevation = ( SELECT max ( highlow.highest_elevation ) FROM highlow ) ;
how many rivers run through the states bordering STATE@0,SELECT count ( river.river_name ) FROM river WHERE river.traverse IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ;
what is the smallest city in STATE@0,SELECT city.city_name FROM city WHERE city.state_name = STATE@0 AND city.population = ( SELECT min ( city.population ) FROM city WHERE city.state_name = STATE@0 ) ;
what is the size of the capital of STATE@0,SELECT city.population FROM city WHERE city.city_name = ( SELECT state.capital FROM state WHERE state.state_name = STATE@0 ) ;
what are the major cities of the united states,SELECT city.city_name FROM city WHERE city.population > 150000 ;
what river flows through STATE@0,SELECT river.river_name FROM river WHERE river.traverse = STATE@0 ;
what is the most populated capital in the united states,"SELECT city.city_name FROM city WHERE city.population = ( SELECT max ( city.population ) FROM city , state WHERE city.city_name = state.capital ) ;"
what are the lakes in states bordering STATE@0,SELECT lake.lake_name FROM lake WHERE lake.state_name IN ( SELECT border_info.border FROM border_info WHERE border_info.state_name = STATE@0 ) ;
of the states washed by the RIVER@0 river which has the lowest point,"SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation = ( SELECT min ( highlow.lowest_elevation ) FROM highlow , river WHERE ( river.river_name = RIVER@0 ) AND ( river.traverse = highlow.state_name ) ) ;"
what rivers run through the state with the lowest point in the united states ?,SELECT river.river_name FROM river WHERE river.traverse IN ( SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation = ( SELECT min ( highlow.lowest_elevation ) FROM highlow ) ) ;
which rivers flow through STATE@0,SELECT river.river_name FROM river WHERE river.traverse = STATE@0 ;
what is the lowest point in STATE@0,SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name = STATE@0 ;
what is the largest city in states that border STATE@0,SELECT city.city_name FROM city WHERE city.state_name IN ( SELECT border_info.state_name FROM border_info WHERE border_info.border = STATE@0 ) AND city.population = ( SELECT max ( city.population ) FROM city WHERE city.state_name IN ( SELECT border_info.state_name FROM border_info WHERE border_info.border = STATE@0 ) ) ;
what is the longest river in the united states,SELECT river.river_name FROM river WHERE river.length = ( SELECT max ( river.length ) FROM river ) ;
what is the average population of the united states by state,SELECT avg ( state.population ) FROM state ;
what is the capital of STATE@0,SELECT state.capital FROM state WHERE state.state_name = STATE@0 ;
what is the longest river in the state with the highest point,"SELECT river.river_name FROM river , highlow WHERE river.traverse = highlow.state_name AND highlow.highest_elevation = ( SELECT max ( highlow.highest_elevation ) FROM highlow ) ORDER BY river.length DESC LIMIT 1 ;"
what mountains are in STATE@0,SELECT mountain.mountain_name FROM mountain WHERE mountain.state_name = STATE@0 ;
how long is RIVER@0,SELECT river.length FROM river WHERE river.river_name = RIVER@0 ;
which state contains most rivers ?,"SELECT river.traverse FROM river , state WHERE river.traverse = state.state_name GROUP BY state.state_name ORDER BY count ( river.river_name ) DESC LIMIT 1 ;"
what is the highest point in STATE@0,SELECT highlow.highest_point FROM highlow WHERE highlow.state_name = STATE@0 ;
state the state with the largest area,SELECT state.state_name FROM state WHERE state.area = ( SELECT max ( state.area ) FROM state ) ;
how many cities named CITY@0 are there in the united states,SELECT count ( city.city_name ) FROM city WHERE city.city_name = CITY@0 ;
what are the major lakes in united states,SELECT lake.lake_name FROM lake ;
which state is the city CITY@0 located in,SELECT city.state_name FROM city WHERE city.city_name = CITY@0 ;
how many people live in CITY@0,SELECT city.population FROM city WHERE city.city_name = CITY@0 ;
